,cand_id,country,endMonth,endYear,name,startMonth,startYear
0,300.0,US,Present,Present,"University of California, Santa Cruz",,
1,300.0,US,Present,Present,De Anza College,,
2,300.0,US,Present,2010,De Anza College,,2008.0
3,300.0,US,Present,2012,"University of California, Santa Cruz",,2010.0
0,301.0,FR,Present,Present,INSEAD,,
1,301.0,IN,Present,Present,Osmania University,,
2,301.0,IN,Present,1998,Osmania University,,1996.0
3,301.0,FR,Present,2015,INSEAD,,2014.0
4,301.0,IN,Present,1993,Little Flower Junior College,,1991.0
0,302.0,US,Present,Present,Columbia University in the City of New York,,
1,302.0,US,Present,1996,Columbia University in the City of New York,,1992.0
0,303.0,US,Present,Present,Georgia Institute of Technology,,
1,303.0,US,Present,Present,"University of California, Berkeley",,
2,303.0,US,Present,2008,Georgia Institute of Technology,,2007.0
3,303.0,US,Present,Present,"University of California, Berkeley",,
0,305.0,US,Present,Present,Washington State University,,
1,305.0,US,Present,Present,Seattle Central College,,
2,305.0,GB,Present,Present,University of Westminster,,
3,305.0,US,Present,Present,Washington State University,,
4,305.0,US,Present,2013,Seattle Central College,,2011.0
5,305.0,GB,Present,Present,University of Westminster,,
0,308.0,US,Present,Present,Cabrillo College,,
1,308.0,CA,6,2004,Art Institute of Vancouver - Burnaby,9.0,2002.0
2,308.0,US,Present,2001,Cabrillo College,,1998.0
0,309.0,,Present,1988,School voor Levensmiddentechnologie,,1984.0
0,310.0,IN,Present,Present,Uttar Pradesh Technical University,,
1,310.0,IN,Present,2005,Uttar Pradesh Technical University,,2001.0
2,310.0,US,Present,2000,MBIC,,1996.0
0,311.0,US,Present,1999,Drexel University,,1995.0
1,311.0,US,Present,1996,Embry-Riddle,,1995.0
2,311.0,,Present,1998,NEGOCIA - Centre international de formation Ã  la vente et Ã  la nÃ©gociation commerciale,,1998.0
0,312.0,US,Present,Present,Wake Technical Community College,,
1,312.0,US,Present,2004,Wake Technical Community College,,2001.0
0,313.0,US,Present,Present,University of Massachusetts Dartmouth,,
1,313.0,IN,Present,Present,Rajiv Gandhi Prodyogiki Vishwavidyalaya,,
2,313.0,US,Present,2011,University of Massachusetts Dartmouth,,2009.0
3,313.0,IN,Present,2006,Rajiv Gandhi Prodyogiki Vishwavidyalaya,,2002.0
0,317.0,US,Present,2012,University of Michigan,,2008.0
0,318.0,US,Present,Present,Fairleigh Dickinson University-Florham Campus,,
1,318.0,US,Present,Present,Fairleigh Dickinson University-Florham Campus,,
0,319.0,US,Present,Present,Stanford University,,
1,319.0,,Present,Present,National University of Singapore,,
2,319.0,,Present,1995,National University of Singapore,,1992.0
3,319.0,US,Present,2000,Stanford University,,1995.0
0,320.0,TW,Present,Present,National Chiao Tung University,,
1,320.0,,Present,Present,Cornell University,,
2,320.0,TW,Present,2010,National Chiao Tung University,,2006.0
3,320.0,US,Present,2009,University of Illinois Urbana-Champaign College of Engineering,,2009.0
4,320.0,,Present,2011,Cornell University,,2010.0
0,321.0,GB,Present,Present,North East Scotland College,,
1,321.0,GB,Present,Present,Robert Gordon University,,
2,321.0,GB,Present,2008,Robert Gordon University,,2003.0
3,321.0,GB,Present,2003,Aberdeen College,,2002.0
0,322.0,US,Present,Present,Northwestern University,,
1,322.0,CN,Present,Present,Tsinghua University,,
2,322.0,CN,Present,2005,Tsinghua University,,2002.0
3,322.0,CN,Present,2002,Tsinghua University,,1998.0
4,322.0,US,Present,2010,Northwestern University,,2005.0
0,323.0,US,Present,Present,San Francisco State University,,
1,323.0,US,Present,2004,San Francisco State University,,2001.0
2,323.0,AR,Present,2001,"University of Architecture, Design and Urbanism of Buenos Aires, UBA-FADU",,1994.0
0,324.0,US,Present,Present,University of California San Diego,,
1,324.0,US,Present,1999,"University of California, San Diego",,
0,325.0,US,Present,1990,Trinity Catholic school,,1982.0
0,326.0,US,Present,Present,Santa Clara University,,
1,326.0,US,Present,2013,Santa Clara University,,2010.0
2,326.0,IN,Present,2000,Sri Venkateswara College of Engineering,,1997.0
3,326.0,IN,Present,1997,Thiagarajar Polytechnic,,1994.0
0,327.0,US,Present,Present,Texas Wesleyan University,,
1,327.0,US,Present,1983,Texas Wesleyan University,,1979.0
0,328.0,US,Present,Present,UC San Diego School of Global Policy and Strategy (GPS),,
1,328.0,US,Present,2012,"University of California, Merced",,2008.0
2,328.0,US,Present,2014,UC San Diego School of Global Policy and Strategy (GPS),,2012.0
0,329.0,IE,Present,Present,Loreto Convent Balbriggan,,
0,330.0,US,Present,Present,University of Iowa,,
1,330.0,US,Present,Present,University of Iowa,,
0,331.0,IN,Present,2008,SASTRA University Thanjavur,,2004.0
0,332.0,US,Present,Present,Art Institute of Seattle,,
1,332.0,US,Present,Present,City University of Seattle,,
2,332.0,US,Present,Present,Art Institute of Colorado,,
3,332.0,US,Present,1997,Art Institute of Seattle,,1995.0
4,332.0,US,Present,1992,Art Institute of Colorado,,1990.0
5,332.0,US,Present,2015,City University of Seattle,,2013.0
0,333.0,US,Present,Present,Northwestern Polytechnic University,,
1,333.0,US,Present,2015,Northwestern Polytechnic University,,2014.0
0,334.0,US,Present,Present,University of Washington,,
1,334.0,US,Present,1990,University of Washington,,1986.0
