,cand_id,name,proficiency
0,305.0,English,NATIVE_OR_BILINGUAL
0,308.0,English,NATIVE_OR_BILINGUAL
0,310.0,English,FULL_PROFESSIONAL
0,318.0,Arabic,LIMITED_WORKING
0,322.0,Chinese,NATIVE_OR_BILINGUAL
0,323.0,English,NATIVE_OR_BILINGUAL
0,328.0,English,NATIVE_OR_BILINGUAL
0,331.0,English,FULL_PROFESSIONAL
0,334.0,English,NATIVE_OR_BILINGUAL
0,337.0,Castellano,LIMITED_WORKING
0,347.0,English,NATIVE_OR_BILINGUAL
0,351.0,Portuguese,ELEMENTARY
0,358.0,English,NATIVE_OR_BILINGUAL
0,360.0,English,NATIVE_OR_BILINGUAL
0,365.0,English,NATIVE_OR_BILINGUAL
0,371.0,Spanish,ELEMENTARY
0,376.0,English,NATIVE_OR_BILINGUAL
0,380.0,Anglais,FULL_PROFESSIONAL
1,380.0,Anglais,FULL_PROFESSIONAL
