,cand_id,name,proficiency
0,703.0,English,NATIVE_OR_BILINGUAL
0,712.0,English,FULL_PROFESSIONAL
0,722.0,Dutch,NATIVE_OR_BILINGUAL
0,727.0,English,NATIVE_OR_BILINGUAL
0,729.0,English,NATIVE_OR_BILINGUAL
0,732.0,English,NATIVE_OR_BILINGUAL
0,736.0,Deutsch,ELEMENTARY
0,749.0,English,NATIVE_OR_BILINGUAL
0,757.0,English,NATIVE_OR_BILINGUAL
0,758.0,English,NATIVE_OR_BILINGUAL
0,764.0,C,PROFESSIONAL_WORKING
0,769.0,Chinese,NATIVE_OR_BILINGUAL
0,773.0,English,FULL_PROFESSIONAL
0,780.0,Danish,NATIVE_OR_BILINGUAL
0,792.0,English,NATIVE_OR_BILINGUAL
0,793.0,English,NATIVE_OR_BILINGUAL
1,793.0,English,NATIVE_OR_BILINGUAL
0,795.0,English,FULL_PROFESSIONAL
0,798.0,English,NATIVE_OR_BILINGUAL
