,cand_id,country,endMonth,endYear,locationName,name,startMonth,startYear
0,700.0,US,Present,Present,San Francisco Bay Area,Infosys,6.0,2009.0
1,700.0,US,10,2013,,Infosys,1.0,2010.0
0,701.0,US,Present,2016,"Seattle, Washington",RichRelevance,,2014.0
1,701.0,US,11,2014,Kirkland WA,Rightside,3.0,2014.0
2,701.0,US,3,2014,Redmond WA,MedaNext,6.0,2013.0
3,701.0,US,Present,Present,,Zillow Group,9.0,2016.0
4,701.0,,7,2013,,Microsoft - System Center Online,6.0,2008.0
0,702.0,US,4,2014,"Mountain View, CA","Room77, Inc.",11.0,2010.0
1,702.0,US,Present,Present,"Menlo Park, CA",Clear Labs,9.0,2015.0
2,702.0,US,Present,Present,San Francisco Bay Area,Legal.io,5.0,2015.0
3,702.0,US,8,2015,San Francisco Bay Area,DistLines,1.0,2007.0
4,702.0,US,4,2015,"Mountain View, CA","RewardsPay, Inc.",5.0,2011.0
0,703.0,US,5,2008,,Carnegie Mellon Robotics Institute,8.0,2003.0
1,703.0,CH,Present,Present,"ZÃ¼rich Area, Switzerland",Google,10.0,2015.0
2,703.0,US,11,2011,,Google,6.0,2008.0
3,703.0,US,10,2015,,Google,12.0,2011.0
4,703.0,US,Present,2008,,Carnegie Mellon University,,2003.0
0,704.0,US,2,2012,,Milliman Care Guidelines,3.0,2010.0
1,704.0,US,9,2015,,MCG - Formerly Milliman Care Guidelines,11.0,2013.0
2,704.0,US,Present,Present,"Seattle, WA","SWITCH, Inc.",10.0,2015.0
3,704.0,US,10,2013,"Seattle, WA",Milliman Care Guidelines,2.0,2012.0
4,704.0,US,3,2010,,Milliman Care Guidelines,3.0,2009.0
0,706.0,,2,2006,,Ario Data Networks,5.0,2005.0
1,706.0,US,5,2015,Sunnyvale,Network Appliance,2.0,2006.0
2,706.0,US,5,2005,Mountain View,Pinnacle System (acquired by Avid  Technology),6.0,2000.0
3,706.0,US,Present,Present,Santa Clara,Dell EMC,5.0,2015.0
0,707.0,US,1,2008,,Chapman University,10.0,2006.0
1,707.0,US,Present,Present,Greater Seattle Area,PwC,2.0,2013.0
2,707.0,US,10,2010,,Avery Dennison,9.0,2008.0
3,707.0,US,1,2013,Greater Los Angeles Area,Avery Dennison,10.0,2010.0
4,707.0,,9,2008,,Intercontinental Affordable Housing Inc,3.0,2008.0
0,708.0,US,Present,Present,,Susquehanna Health,8.0,2014.0
1,708.0,US,8,2014,,Susquehanna Health,1.0,2012.0
0,709.0,GB,4,2015,"Crewe, United Kingdom",Block Solutions,6.0,2014.0
1,709.0,GB,5,2014,Haydock,Intrinsic: Dynamic IT,9.0,2013.0
2,709.0,GB,9,2013,,Cetus Solutions Limited,3.0,2011.0
3,709.0,US,3,2011,,Enterprise Plc,3.0,2007.0
4,709.0,GB,Present,Present,,CDW UK,5.0,2015.0
0,710.0,CA,2,2001,,Nike,9.0,1997.0
1,710.0,CN,9,2014,"Guangzhou, Guangdong, China",Yonex China (Wilken) Sports Co.ltd,2.0,2010.0
2,710.0,CN,4,2004,,Amway China,3.0,2001.0
3,710.0,CN,10,2009,"Shenzhen, Guangdong, China",Danone Bottle Water China,5.0,2004.0
4,710.0,HK,Present,Present,Hong Kong,511 tactical Inc,10.0,2014.0
0,711.0,GB,9,2010,,Lloyds Banking Group,10.0,2007.0
1,711.0,US,Present,Present,Anywhere,RSM Enterprise Solutions,11.0,2011.0
2,711.0,US,Present,2015,,RSM,,2011.0
3,711.0,US,Present,2015,,RSM,,2011.0
4,711.0,US,Present,2011,,Deloitte,,2011.0
0,712.0,US,Present,Present,Seattle,SK Communication Design,,2007.0
1,712.0,US,4,2016,Greater Seattle Area,CDK Global,1.0,2016.0
2,712.0,US,11,2015,Seattle,Magner Sanborn,7.0,2015.0
3,712.0,US,Present,Present,Greater Seattle Area,Phinney Bischoff,7.0,2016.0
4,712.0,US,7,2015,Seattle,Changepoint,12.0,2014.0
5,712.0,,Present,Present,,TEDxTokyo,10.0,2012.0
0,713.0,US,7,2013,,University of Denver,6.0,2004.0
1,713.0,,3,2016,,"Adaptive Platforms Strategy and Development, CenturyLink via Tek Systems",2.0,2015.0
2,713.0,US,Present,Present,Denver area,"U.S. Geological Survey, via Apogee Engineering",3.0,2016.0
3,713.0,US,2,2015,Lakewood,"USGS Via COMSO, Inc",7.0,2013.0
4,713.0,US,7,2013,Greater Denver Area,University of Denver,7.0,2012.0
0,716.0,US,Present,2009,,Nexon Publishing North America,,2007.0
1,716.0,CA,Present,Present,,Microsoft Canada,3.0,2010.0
2,716.0,US,Present,2004,,Acclaim,,1999.0
3,716.0,US,Present,2007,,Electronic Arts,,2004.0
4,716.0,CA,Present,2010,"Vancouver, Canada",Ubisoft,,2010.0
0,717.0,GB,8,2011,,Durham County Council,7.0,2009.0
1,717.0,GB,Present,Present,"Marlborough Primary School, Washington, Tyne & Wear.",Sunderland City Council,10.0,2011.0
2,717.0,GB,9,2005,Kings Cross London,British  Trust Volunteers Conservation (BTCV),11.0,2004.0
3,717.0,GB,11,2004,"Team Valley, Gateshead",Access Training Ltd,2.0,2004.0
4,717.0,GB,2,2004,"High Wycombe, London and Newcastle",Civil Service Sports Council (CSSC),1.0,2001.0
0,718.0,US,4,2013,"Omaha, Ne",First Data Corp (Experis),10.0,2012.0
1,718.0,,9,2016,,"Micah Trading, LLC",3.0,2016.0
2,718.0,US,3,2016,,Mutual of Omaha (contractor),7.0,2015.0
3,718.0,US,Present,Present,,Aviture,11.0,2016.0
4,718.0,US,7,2015,Greater Omaha Area,Physicians Mutual,4.0,2013.0
5,718.0,US,10,2013,,Food Bank,10.0,2013.0
6,718.0,US,6,2014,,Habitat for Humanity International,6.0,2014.0
7,718.0,US,6,2014,,Ronald McDonald House Charities in Omaha,6.0,2014.0
0,722.0,NL,Present,Present,"Amsterdam Area, Netherlands",Sentia,10.0,2015.0
1,722.0,NL,9,2015,"Amsterdam Area, Netherlands",Mirabeau,5.0,2012.0
2,722.0,NL,2,2012,"Amsterdam Area, Netherlands",SURFsara,9.0,2011.0
0,723.0,US,10,2012,,Quest Software,12.0,2011.0
1,723.0,US,8,2003,,Wincor Nixdorf,3.0,2001.0
2,723.0,US,Present,Present,Woodland Hills,Dell,9.0,2012.0
3,723.0,US,11,2010,,"California State University, San Bernardino",11.0,2004.0
4,723.0,,12,2011,,BiTKOO,11.0,2010.0
0,724.0,US,10,2013,Greater Chicago Area,Ann and Robert H. Lurie Children's Hospital of Chicago,9.0,2012.0
1,724.0,US,12,2013,"Chicago, IL",Northwestern College,6.0,2013.0
