,cand_id,country,endMonth,endYear,locationName,name,startMonth,startYear
0,200.0,SG,6,2013,Singapore,"Yonyou Software Co., Ltd.",1.0,2013.0
1,200.0,UG,12,2011,APAC,Provide on request,1.0,2005.0
2,200.0,SG,7,2014,Singapore,ITEC Intelligent Services,8.0,2013.0
3,200.0,AE,12,2012,Dubai,Hoe Leong Corporation Ltd,1.0,2012.0
4,200.0,SG,Present,Present,Singapore,Ecquaria Technologies Pte Ltd,9.0,2014.0
0,201.0,US,Present,Present,,Novartis Pharmaceuticals,,
1,201.0,US,Present,Present,"East Hanover, NJ",Novartis Pharmaceutical Company,,2010.0
2,201.0,US,4,2001,,Ingenix,9.0,1998.0
3,201.0,US,Present,Present,,Novartis,,2007.0
4,201.0,CA,Present,1995,,Hoffmann- LaRoche,,1989.0
0,202.0,US,Present,Present,,ArenaNet,4.0,2013.0
1,202.0,US,Present,2005,,Enterprise Technology Services (ETS): State of Alaska,,2005.0
2,202.0,US,3,2013,,TimeGate Studios,6.0,2008.0
3,202.0,US,3,2013,,TimeGate Studios,6.0,2009.0
0,203.0,IE,8,2015,"Shannon, Ireland",UCB Manufacturing Ireland Limited,3.0,2000.0
1,203.0,IE,3,2000,Limerick,Vistakon (Johnson & Johnson),3.0,1998.0
2,203.0,IE,10,2015,"Shanbally, Co. Cork",BioMarin Pharmaceutical Inc.,8.0,2015.0
3,203.0,IE,3,1998,"Leixlip, Ireland",Intel Corporation,9.0,1997.0
4,203.0,IE,Present,Present,Limerick,Regeneron Industrial Operations/Product Supply Ireland Ltd.,10.0,2015.0
0,204.0,NL,10,2016,"Venlo, Provincie Limburg, Nederland",Michael Kors,2.0,2015.0
1,204.0,NL,2,1998,"Best, The Netherlands",UPS,,1995.0
2,204.0,NL,2,2015,"Eindhoven Area, Netherlands",Panalpina,3.0,2012.0
3,204.0,NL,3,2012,"Eersel, The Netherlands",Menlo Worldwide,3.0,1998.0
4,204.0,NL,Present,Present,"Venlo, Provincie Limburg, Nederland",Michael Kors,10.0,2016.0
5,204.0,NL,10,2016,"Venlo, Provincie Limburg, Nederland",Michael Kors,2.0,2015.0
6,204.0,NL,2,1998,"Best, The Netherlands",UPS,,1995.0
7,204.0,NL,2,2015,"Eindhoven Area, Netherlands",Panalpina,3.0,2012.0
8,204.0,NL,3,2012,"Eersel, The Netherlands",Menlo Worldwide,3.0,1998.0
9,204.0,NL,Present,Present,"Venlo, Provincie Limburg, Nederland",Michael Kors,10.0,2016.0
0,205.0,US,Present,Present,,NCC Group,,
1,205.0,GB,Present,Present,,RandomStorm Ltd,5.0,2011.0
2,205.0,GB,Present,Present,,Accumuli Security,4.0,2015.0
3,205.0,,Present,2008,,Plusnet,,2008.0
4,205.0,GB,7,2012,,RandomStorm Ltd,5.0,2011.0
5,205.0,,8,1998,,W.A.S.P (Woodspring Adolecent Support Project),1.0,1997.0
0,206.0,CA,2,2016,"Vancouver, Canada",Electronic Arts (EA),4.0,2015.0
1,206.0,MY,8,2005,"Kuala Lumpur, Malaysia",One Degree North,4.0,2005.0
2,206.0,MY,4,2005,"Kuala Lumpur, Malaysia",Waz Lian Leisure,1.0,2005.0
3,206.0,CA,4,2014,"Vancouver, Canada Area",Renown Entertainment,5.0,2013.0
4,206.0,MY,1,2009,"Kuala Lumpur, Malaysia",Codemasters Studio,1.0,2007.0
0,207.0,CA,4,2014,"Halifax, Canada Area",Frontier Developments,4.0,2013.0
1,207.0,US,8,2011,,Bioware,11.0,2006.0
2,207.0,CA,Present,Present,"Halifax, Canada Area",Hothead Games,4.0,2015.0
3,207.0,CA,3,2013,"Halifax, Canada Area",Silverback Productions Inc.,8.0,2011.0
4,207.0,CA,3,2015,"Halifax, Canada Area",Orpheus Interactive,4.0,2014.0
0,208.0,GB,Present,Present,,Friends Provident International,3.0,2012.0
1,208.0,MY,6,2011,,Prudential Assurance,6.0,2008.0
2,208.0,MY,2,2012,,UOB,6.0,2011.0
0,209.0,GB,10,2004,,Sun Microsystems,3.0,1997.0
1,209.0,GB,2,2010,,Sun Microsystems,10.0,2004.0
2,209.0,GT,Present,1997,,PDH,,1993.0
3,209.0,US,Present,Present,,eBay Inc,8.0,2010.0
0,210.0,GB,2,2010,,Framestudios,7.0,2009.0
1,210.0,US,Present,Present,Greater New York City Area,Avalanche Studios,1.0,2015.0
2,210.0,GB,10,2012,,Codemasters,4.0,2010.0
3,210.0,,2,2010,,Frame Studios Interactive,7.0,2009.0
4,210.0,US,1,2015,"Irvine, California",Ready At Dawn Studios,10.0,2012.0
0,211.0,GB,12,2010,,Headpartners,7.0,2010.0
1,211.0,MX,7,2010,,Grupo Mar,1.0,2009.0
2,211.0,US,4,2012,,Combined Insurance,1.0,2012.0
3,211.0,PT,1,2012,,Esporao S.A.,8.0,2011.0
4,211.0,PT,Present,Present,,EMC  Portugal,4.0,2012.0
0,212.0,US,9,2011,San Jose,"FitView, Inc.",5.0,2010.0
1,212.0,US,Present,Present,Sunnyvale,"iSmart Alarm, Inc.",3.0,2016.0
2,212.0,US,10,2012,Mountain View,IMVU,1.0,2012.0
3,212.0,US,12,2015,Mountain view ca,AnchorFree,11.0,2013.0
4,212.0,US,11,2013,"mountain view, california",Tango.me,10.0,2012.0
0,213.0,US,6,2016,Greater Los Angeles Area,Admedia,9.0,2007.0
1,213.0,US,Present,2007,,Netmore Internet,,2006.0
2,213.0,US,Present,Present,"Orange County, California Area",Panasonic Avionics Corporation,6.0,2016.0
0,214.0,US,Present,Present,"San Jose, CA","LEVEL, a Rosetta Company",10.0,2012.0
1,214.0,US,Present,Present,,Adobe,10.0,2013.0
2,214.0,US,Present,2011,,Organic,,2010.0
3,214.0,US,Present,Present,San Francisco Bay Area,Bare Escentuals,6.0,2013.0
4,214.0,US,Present,Present,SF Bay Area,Eileen Bordy,5.0,1998.0
0,215.0,US,6,2015,,ICON Clinical Research,10.0,2005.0
1,215.0,US,8,2016,,iCON Clinical Research,7.0,2015.0
2,215.0,IE,Present,Present,,ICON plc,1.0,2017.0
3,215.0,,10,2005,,Contract at Sanofi-Aventis,6.0,2005.0
4,215.0,US,1,2017,"Raleigh-Durham, North Carolina Area",INC Research,9.0,2016.0
0,216.0,US,Present,Present,San Francisco Bay Area,"Move, Inc",7.0,2016.0
