,cand_id,name,proficiency
0,200.0,Chinese,NATIVE_OR_BILINGUAL
0,204.0,Dutch,NATIVE_OR_BILINGUAL
1,204.0,Dutch,NATIVE_OR_BILINGUAL
0,212.0,English,FULL_PROFESSIONAL
0,217.0,Arabic,NATIVE_OR_BILINGUAL
0,222.0,Chinese,NATIVE_OR_BILINGUAL
0,225.0,English,NATIVE_OR_BILINGUAL
0,232.0,Arabic,NATIVE_OR_BILINGUAL
0,235.0,Chinese,NATIVE_OR_BILINGUAL
0,239.0,Croatian,NATIVE_OR_BILINGUAL
0,242.0,Chinese,PROFESSIONAL_WORKING
0,244.0,English,NATIVE_OR_BILINGUAL
0,247.0,Bulgarian,NATIVE_OR_BILINGUAL
0,251.0,Arabic,PROFESSIONAL_WORKING
0,254.0,French,NATIVE_OR_BILINGUAL
0,255.0,English,NATIVE_OR_BILINGUAL
0,256.0,English,NATIVE_OR_BILINGUAL
