,cand_id,country,endMonth,endYear,name,startMonth,startYear
0,401.0,GB,Present,Present,University of Westminster,,
1,401.0,GB,Present,2004,University of Westminster,,2001.0
0,402.0,US,Present,Present,Columbia College Chicago,,
1,402.0,US,Present,Present,Northern Illinois University,,
2,402.0,US,Present,2010,Columbia College Chicago,,2007.0
3,402.0,US,Present,2007,Northern Illinois University,,2005.0
4,402.0,US,Present,2005,Evanston Township High School,,2001.0
0,403.0,US,Present,Present,Massachusetts Institute of Technology,,
1,403.0,US,Present,1992,Massachusetts Institute of Technology,,1988.0
2,403.0,US,Present,Present,Wellesley College,,
0,404.0,US,Present,Present,Stanford University,,
1,404.0,US,Present,Present,Georgia Institute of Technology,,
2,404.0,US,Present,1999,Stanford University,,1993.0
3,404.0,US,Present,1993,Georgia Institute of Technology,,1989.0
0,406.0,DE,Present,Present,Hochschule Flensburg,,
1,406.0,DE,Present,2010,Fachhochschule Flensburg,,2006.0
0,407.0,US,Present,Present,DCCC,,
0,410.0,CN,Present,Present,Jilin University,,
1,410.0,US,Present,Present,Penn State University,,
2,410.0,CN,Present,2002,Jilin University,,1999.0
3,410.0,US,Present,2007,Penn State University,,2003.0
0,412.0,US,Present,Present,North Carolina State University,,
1,412.0,IN,Present,Present,University of Mumbai,,
2,412.0,US,Present,2006,North Carolina State University,,2005.0
3,412.0,IN,Present,2005,University of Mumbai,,2001.0
0,413.0,US,Present,Present,City University of New York City College,,
1,413.0,US,Present,2009,City University of New York City College,,2006.0
2,413.0,US,Present,2013,Flatiron School,,2013.0
3,413.0,US,Present,2004,St. Michael's College,,2000.0
0,414.0,US,Present,Present,UC Irvine,,
1,414.0,CN,Present,Present,Peking University,,
2,414.0,US,Present,Present,UC Irvine,,
3,414.0,CN,Present,Present,Peking University,,
4,414.0,US,Present,Present,"University of California, Irvine",,
0,415.0,US,Present,Present,Belmont University,,
1,415.0,US,Present,Present,Pepperdine Graziadio School of Business and Management,,
2,415.0,US,Present,2001,Canfield High School,,1997.0
3,415.0,US,Present,2005,Belmont University,,2001.0
4,415.0,US,Present,2012,"Pepperdine University, The George L. Graziadio School of Business and Management",,2010.0
0,416.0,US,Present,Present,Harvey Mudd College,,
1,416.0,US,Present,2012,Harvey Mudd College,,2008.0
2,416.0,HU,Present,2011,Aquincum Institute of Technology,,2011.0
0,417.0,,Present,Present,Webster University,,
1,417.0,,Present,1999,Webster University,,
2,417.0,US,Present,1996,Iowa Methodist Medical Center School of Nursing,,
3,417.0,,Present,Present,Webster University,,
0,418.0,US,Present,Present,Brown University,,
1,418.0,US,Present,2013,Berkeley Digital Film Institute,,2013.0
2,418.0,US,Present,2006,Brown University,,2002.0
3,418.0,US,Present,2015,UC Berkeley Extension School,,2013.0
