,cand_id,country,endMonth,endYear,locationName,name,startMonth,startYear
0,401.0,GB,10,2016,"London, United Kingdom",Investec,3.0,2016.0
1,401.0,US,2,2016,,Deutsche Bank,4.0,2008.0
2,401.0,GB,Present,Present,"London, United Kingdom",SmartStream Technologies,12.0,2016.0
0,402.0,US,6,2012,"Evanston/Chicago, IL",Urban Outfitters,8.0,2008.0
1,402.0,US,5,2010,"Evanston, IL",Aware Records/A-Squared Management,1.0,2010.0
2,402.0,US,4,2016,"Chicago, il",marcus evans Group,6.0,2013.0
3,402.0,US,Present,Present,Greater Chicago Area,Central Logic,5.0,2016.0
4,402.0,US,6,2013,"Chicago, IL",Marcus Evans,2.0,2012.0
5,402.0,US,1,2009,,Platform One Entertainment,1.0,2009.0
0,403.0,US,Present,2002,"Waltham, Massachusetts",Qiave Technologies,,1999.0
1,403.0,US,Present,Present,"Mountain View, California",Symantec,12.0,2013.0
2,403.0,US,12,2013,"San Francisco, CA",Symantec,11.0,2012.0
3,403.0,US,11,2012,"San Francisco, CA",Symantec,7.0,2006.0
4,403.0,US,6,2006,"San Francisco, CA",Symantec,10.0,2002.0
0,404.0,US,Present,Present,"South San Francisco, CA",Thermo Fisher Scientific,1.0,2013.0
1,404.0,US,10,2011,"Foster City, CA",Life Technologies,5.0,2008.0
2,404.0,US,1,2006,"Tucson, Arizona Area",Arizona Microsystems,7.0,2002.0
3,404.0,US,6,2012,"Redwood City, CA",Ingenuity Systems,10.0,2011.0
4,404.0,US,5,2008,"Foster City, CA",Applied Biosystems,1.0,2006.0
0,406.0,DE,12,2015,"Hamburg Area, Germany",hmmh multimediahaus AG,7.0,2014.0
1,406.0,DE,Present,Present,"Hamburg Area, Germany",haven5 GmbH,1.0,2016.0
2,406.0,DE,9,2006,Kiel und Hamburg,Deutsche Telekom AG,9.0,2003.0
3,406.0,DE,7,2014,Hamburg,hmmh multimediahaus AG,8.0,2010.0
4,406.0,DE,6,2010,"Hamburg Area, Germany",Otto (GmbH & Co KG),9.0,2009.0
0,407.0,US,12,2015,"Bala Cynwyd, PA",ACI Clinical,5.0,2013.0
1,407.0,US,3,2009,"Wilmington, DE",AstraZeneca,4.0,1997.0
2,407.0,US,Present,Present,"Menlo Park, CA",Intersect ENT,1.0,2016.0
0,410.0,US,1,2013,Washington D.C. Metro Area,VERISIGN,8.0,2012.0
1,410.0,US,6,2007,,Penn State University,1.0,2003.0
2,410.0,CN,Present,2003,,Tsinghua Tongfang,,2001.0
3,410.0,US,Present,Present,San Francisco Bay Area,"Hitachi America, Ltd.",2.0,2013.0
4,410.0,US,8,2012,,Penn State University,7.0,2007.0
0,412.0,US,Present,Present,"San Francisco, CA",Salesforce,11.0,2016.0
1,412.0,US,5,2010,,Oracle USA,6.0,2007.0
2,412.0,US,1,2013,"Santa Clara, CA",Citrix Systems,7.0,2011.0
3,412.0,US,7,2011,"Cupertino, CA",Cloud.com (acquired by Citrix Systems),5.0,2010.0
4,412.0,US,11,2016,"San Mateo, CA",NetSuite (Acquired by Oracle),1.0,2013.0
0,413.0,US,9,2005,,TEFL International,1.0,2005.0
1,413.0,US,3,2014,,Freelance,10.0,2013.0
2,413.0,US,5,2012,"New York, NY",American Lung Association,9.0,2010.0
3,413.0,US,Present,Present,Greater New York City Area,The New York Times,4.0,2014.0
4,413.0,US,9,2010,,Theatre Communications Group,1.0,2006.0
0,414.0,US,Present,Present,North Hollywood,Irdeto,3.0,2015.0
1,414.0,US,2,2015,North Hollywood,Irdeto,9.0,2014.0
2,414.0,US,5,2012,Burbank,Deluxe,5.0,2008.0
3,414.0,US,Present,Present,,Business Data Software,11.0,2016.0
4,414.0,US,9,2014,Burbank,Deluxe,5.0,2012.0
0,415.0,US,Present,2013,,Peermusic,,2012.0
1,415.0,US,Present,2015,,peermusic,,2014.0
2,415.0,US,7,2012,,BMG RIGHTS MANAGEMENT,2.0,2011.0
