,cand_id,country,endMonth,endYear,name,startMonth,startYear
0,1.0,US,Present,2014.0,Georgia Institute of Technology,,2010.0
0,2.0,DE,Present,Present,The University of Bonn,,
1,2.0,US,Present,Present,University of Wisconsin-Madison,,
2,2.0,DE,Present,2014,Rheinische Friedrich-Wilhelms-UniversitÃ¤t Bonn,,2014.0
3,2.0,US,Present,2015,University of Wisconsin-Madison,,2011.0
0,3.0,US,Present,Present,University of California San Diego,,
1,3.0,US,Present,2011,"University of California, San Diego",,2007.0
0,4.0,FR,Present,2012,"ITEVEC, Saint Germain en Laye, 78",,2010.0
1,4.0,FR,Present,2013,"SUP DE V, Ecole supÃ©rieure de vente",,2012.0
2,4.0,FR,Present,2010,CFA STEPHENSON,,2009.0
0,5.0,US,Present,Present,University of Pennsylvania,,
1,5.0,US,Present,Present,Emory University,,
2,5.0,US,Present,2004,Emory University,,2000.0
3,5.0,US,Present,2009,University of Pennsylvania,,2007.0
0,6.0,,Present,Present,Ecole nationale supÃ©rieure des Industries agricoles et alimentaires,,
1,6.0,FR,Present,2005,FacultÃ© de MÃ©decine - Nancy,,2003.0
2,6.0,,Present,1996,Ecole nationale supÃ©rieure des Industries agricoles et alimentaires,,1993.0
0,7.0,CA,Present,Present,British Columbia Institute of Technology,,
1,7.0,CA,Present,2004,British Columbia Institute of Technology,,2002.0
0,9.0,GB,Present,Present,University of Kent,,
1,9.0,GB,Present,2008,Richmond Adult Community College,,2006.0
2,9.0,GB,Present,1999,University of Kent,,1995.0
3,9.0,GB,Present,2012,Chelsea College of Art & Design (University of Arts),,2008.0
0,10.0,GB,Present,Present,University of York,,
1,10.0,GB,Present,Present,University of York,,
0,12.0,US,Present,Present,San Jose State University,,
1,12.0,US,Present,2014,San Jose State University,,2013.0
0,13.0,US,Present,Present,Norwich University,,
1,13.0,CA,Present,Present,Ryerson University,,
2,13.0,CA,Present,1998,Woburn Collegiate Institute,,1995.0
3,13.0,US,Present,2009,Norwich University,,2007.0
4,13.0,CA,Present,2003,Ryerson University,,1998.0
0,15.0,US,Present,Present,University of Wisconsin-Madison,,
1,15.0,US,Present,2009,University of Wisconsin-Madison,,2005.0
2,15.0,US,Present,2009,University of Wisconsin-Madison,,2005.0
0,16.0,US,Present,Present,Baptist Bible College,,
1,16.0,US,Present,Present,Baptist Bible College,,
2,16.0,US,Present,Present,Carson Newman College,,
0,17.0,IN,Present,2008,"Institute of Technology, Nirma University",,2004.0
0,20.0,US,Present,Present,University of North Carolina at Charlotte,,
1,20.0,US,Present,2017,University of North Carolina at Charlotte,,2014.0
2,20.0,US,Present,2016,University of North Carolina at Charlotte,,2014.0
0,22.0,AR,Present,Present,Universidad Nacional de La Plata,,
1,22.0,US,Present,Present,Berkeley City College,,
2,22.0,AR,Present,2010,Universidad Nacional de La Plata,,2004.0
3,22.0,US,Present,Present,IDEO,,2014.0
4,22.0,US,Present,2013,Berkeley City College,,2011.0
0,23.0,US,Present,Present,CUNY New York City College of Technology,,
1,23.0,US,Present,Present,Westchester Community College,,
2,23.0,US,Present,1987,Westchester Community College,,1985.0
3,23.0,US,Present,1985,CUNY New York City College of Technology,,1983.0
4,23.0,US,Present,1983,John F Kennedy High School,,1980.0
0,24.0,US,Present,Present,Virginia Tech,,
1,24.0,US,Present,2004,Virginia Polytechnic Institute and State University,,2000.0
0,25.0,GB,Present,Present,The University of Manchester,,
1,25.0,GB,Present,Present,Imperial College London,,
2,25.0,GB,Present,2014,Imperial College London,,2013.0
3,25.0,GB,Present,2013,The University of Manchester,,2008.0
0,26.0,US,Present,Present,University of Redlands,,
1,26.0,US,Present,2010,University of Redlands,,2007.0
2,26.0,US,Present,Present,Park City High School,,
3,26.0,US,Present,2010,University of Redlands,,2006.0
0,27.0,US,Present,2013,Massachusetts College of Art,,2009.0
0,28.0,ES,Present,Present,Universidad de Sevilla,,
1,28.0,ES,Present,Present,Universidad de Sevilla,,
2,28.0,ES,Present,2012,Universidad de Sevilla,,2007.0
0,29.0,US,Present,Present,Savannah College of Art and Design,,
1,29.0,US,Present,Present,Rochester Institute of Technology,,
2,29.0,US,Present,2010,Savannah College of Art and Design,,2008.0
3,29.0,US,Present,2007,Rochester Institute of Technology,,2003.0
0,30.0,US,Present,Present,University of Arizona,,
1,30.0,US,Present,1992,University of Arizona,,1988.0
2,30.0,US,Present,1992,University of Arizona,,1988.0
0,32.0,US,Present,Present,University of Cincinnati,,
1,32.0,US,Present,Present,Georgia Institute of Technology,,
2,32.0,US,Present,1997,University of Cincinnati,,1993.0
3,32.0,US,Present,2000,Georgia Institute of Technology,,1997.0
0,33.0,US,Present,Present,Georgia State University,,
1,33.0,US,Present,Present,Savannah College of Art and Design,,
2,33.0,US,Present,2005,Georgia State University,,2003.0
3,33.0,US,Present,2000,Savannah College of Art and Design,,1998.0
0,35.0,US,Present,Present,Virginia Commonwealth University,,
1,35.0,US,Present,Present,Virginia Commonwealth University,,
0,36.0,CO,Present,Present,Universidad Militar Nueva Granada,,
1,36.0,CO,Present,Present,Pontificia Universidad Javeriana,,
2,36.0,CO,Present,2004,Pontificia Universidad Javeriana,,2001.0
3,36.0,CO,Present,2009,Universidad Militar Nueva Granada,,2005.0
0,37.0,US,Present,2001,Purchase College,,1997.0
1,37.0,US,Present,1997,Watkinson High School,,1993.0
0,38.0,US,Present,Present,Stanford University,,
1,38.0,US,Present,Present,Northwest Missouri State University,,
2,38.0,US,Present,Present,Stanford University,,2015.0
3,38.0,US,Present,2004,Northwest Missouri State University,,2000.0
0,39.0,US,Present,Present,Wayne State University,,
1,39.0,US,Present,Present,Wayne State University,,2013.0
0,40.0,IN,Present,2004,TSEC,,2001.0
1,40.0,IN,Present,2001,Vartak Polytechnic,,1998.0
0,41.0,US,Present,Present,"University of California, Berkeley",,
1,41.0,US,Present,2007,"University of California, Berkeley",,2003.0
0,42.0,US,Present,Present,Stanford University,,
1,42.0,US,Present,Present,New York University,,
2,42.0,US,Present,2008,Marin Academy,,2004.0
3,42.0,US,Present,2012,New York University,,2008.0
4,42.0,US,Present,2014,Stanford University,,2012.0
0,43.0,US,Present,Present,Indiana University Bloomington,,
1,43.0,US,Present,Present,Indiana University - Kelley School of Business,,
2,43.0,US,Present,2005,Indiana University Bloomington,,2001.0
3,43.0,US,Present,2008,Indiana University - Kelley School of Business,,2006.0
0,45.0,US,Present,Present,WGU Washington,,
1,45.0,US,Present,Present,WGU Washington,,
0,46.0,US,Present,Present,University of Missouri-Columbia,,
1,46.0,US,Present,2011,University of Washington,,2011.0
