,cand_id,country,endMonth,endYear,locationName,name,startMonth,startYear
0,1.0,US,5,2014,"Atlanta, GA",Georgia Institute of Technology,1.0,2013.0
1,1.0,US,6,2016,"San Francisco, CA",AdRoll,7.0,2014.0
2,1.0,US,8,2013,"Sunnyvale, CA",Yahoo!,5.0,2013.0
3,1.0,US,Present,Present,,AdRoll,7.0,2016.0
4,1.0,US,8,2012,"Houston, TX",TRACLabs,5.0,2012.0
0,2.0,US,10,2015,"Madison, Wisconsin","Myriad Media, LLC",10.0,2014.0
1,2.0,US,12,2015,"Foster City, CA",Visa,6.0,2015.0
2,2.0,US,Present,Present,"San Francisco, CA",Lending Club,12.0,2015.0
3,2.0,US,9,2014,"Minneapolis, MN",Boston Scientific,5.0,2014.0
4,2.0,US,1,2014,"Kansas City, MO",AvidMobile,6.0,2011.0
5,2.0,,4,2014,,Girl's and Boy's Club of Madison / Chi Phi Committee,1.0,2014.0
0,3.0,US,Present,Present,San Francisco Bay Area,AppDynamics,10.0,2015.0
1,3.0,US,8,2013,"Carlsbad, CA","Evergreen Research and Marketing, LLC",2.0,2013.0
2,3.0,US,1,2013,"Miramar, San Diego, CA","WorldTrans Services, Inc.",2.0,2012.0
3,3.0,US,6,2012,"La Jolla, CA",InterVarsity Christian Fellowship/USA,5.0,2011.0
4,3.0,US,9,2015,San Francisco Bay Area,AppDynamics,9.0,2013.0
5,3.0,US,7,2010,,San Diego Urban Project,7.0,2010.0
0,4.0,FR,Present,Present,Roissy CDG,Hub One,4.0,2016.0
1,4.0,FR,8,2012,"Flins sur seine, 78",Orange,9.0,2010.0
2,4.0,FR,1,2014,"Gennevilliers, 92",Truly Nolen,2.0,2013.0
3,4.0,FR,4,2016,"Boulogne-Billancourt , France",SFR BUSINESS,3.0,2014.0
0,5.0,US,Present,Present,Greater New York City Area,Morty,6.0,2016.0
1,5.0,US,Present,Present,Greater New York City Area,Independent Consultant,6.0,2013.0
2,5.0,US,11,2016,Greater New York City Area,Truly Wireless,8.0,2015.0
3,5.0,US,4,2015,"New York, NY",Easy Pairings,7.0,2014.0
4,5.0,US,6,2015,Greater New York City Area,Campus Job,1.0,2015.0
0,6.0,FR,Present,Present,"Paris Area, France",Nestle S.A.,2.0,2014.0
1,6.0,FR,2,2014,France,Nestle S.A.,9.0,2007.0
2,6.0,FR,9,2007,France,Nestle S.A.,2.0,2001.0
3,6.0,US,2,2001,,Nestle S.A.,2.0,1996.0
0,7.0,US,Present,Present,"Las Vegas, Nevada Area",Rocket Gaming Systems,10.0,2011.0
1,7.0,US,8,2011,,Barclays Capital,10.0,2009.0
2,7.0,CA,Present,2007,,Apparent Networks,,2003.0
0,8.0,US,3,2013,,LinkedIn,5.0,2010.0
1,8.0,US,Present,Present,,LinkedIn,3.0,2016.0
2,8.0,US,5,2010,,IXYS Corporation,12.0,2007.0
3,8.0,US,10,2014,San Francisco Bay Area,LinkedIn,3.0,2013.0
4,8.0,US,3,2016,San Francisco Bay Area,LinkedIn,10.0,2014.0
0,9.0,GB,6,2016,Broadcast Centre,BBC,5.0,2015.0
1,9.0,US,Present,Present,"Lighthouse, W12",BBC,6.0,2016.0
2,9.0,GB,9,2011,BBC Television Centre,BBC News,6.0,2009.0
3,9.0,US,12,2012,,BBC,10.0,2011.0
4,9.0,GB,6,2015,BBC Brock House,BBC,12.0,2012.0
0,10.0,AU,Present,Present,"Sydney, Australia",Commonwealth Bank,10.0,2016.0
1,10.0,US,4,2012,,HSBC,,2008.0
2,10.0,US,8,2016,,Barclays,4.0,2015.0
3,10.0,GB,2,2013,"London, United Kingdom",Logica,4.0,2012.0
4,10.0,GB,4,2015,"London, United Kingdom",Barclays,3.0,2013.0
0,11.0,,12,2016,KÃ¼nzelsau,Adolf WÃ¼rth GmbH & Co. KG,10.0,1991.0
1,11.0,DE,9,1991,Heilbronn,TDS AG,5.0,1990.0
2,11.0,DE,Present,Present,KÃ¶ln,STELLWERK Consulting GmbH,1.0,2017.0
0,12.0,US,12,2014,SJSU,SJSU (Lurie college of Education),9.0,2013.0
1,12.0,US,Present,Present,,Vuesol Technologies,3.0,2015.0
2,12.0,US,8,2014,"San Jose, CA","ViridisChem, Inc.",6.0,2014.0
3,12.0,IN,1,2013,Mumbai,ACE Software Solutions Pvt Ltd,8.0,2007.0
4,12.0,US,Present,Present,San Francisco Bay Area,Visa,6.0,2015.0
5,12.0,,8,2014,,"ViridisChem, Inc.",6.0,2014.0
0,13.0,US,Present,Present,Sunnyvale,Apple,12.0,2016.0
1,13.0,US,Present,Present,"Sunyvale, California",Apple,5.0,2015.0
2,13.0,CA,1,2014,"Waterloo, Ontario",BlackBerry,12.0,2012.0
3,13.0,CA,12,2012,"Kitchener, Canada Area",Sandvine,7.0,2012.0
4,13.0,US,5,2015,"Cupertino, California",Apple,1.0,2014.0
0,15.0,US,3,2015,"Milwaukee, WI",Blend Studios,2.0,2015.0
1,15.0,US,5,2014,"Oakland, CA",1/29,5.0,2014.0
2,15.0,US,10,2015,San Francisco Bay Area,Bonfire Labs,8.0,2015.0
3,15.0,GB,Present,Present,,freelance motion graphics,9.0,2013.0
4,15.0,US,1,2016,San Francisco Bay Area,Bloom Studios,10.0,2015.0
0,16.0,US,Present,Present,Florida,First Data Corporation,,2006.0
1,16.0,US,12,1997,Southwest USA,First Data Corporation,1.0,1994.0
2,16.0,US,12,2005,Dallas/Fort Worth Area,First Data Corporation,12.0,1997.0
0,17.0,US,7,2012,"Anaheim, California",Extron Electronics,8.0,2008.0
1,17.0,IN,6,2007,"Ahmedabad Area, India",Shreenath Foundation,8.0,2004.0
2,17.0,IN,5,2008,"Ahmedabad Area, India",Net-Square,1.0,2008.0
3,17.0,US,Present,Present,"Anaheim, California",Extron Electronics,7.0,2012.0
0,20.0,US,8,2016,"Charlotte, North Carolina Area",Time Warner Cable,7.0,2014.0
1,20.0,US,5,2011,"Cheektowaga, NY",Time Warner Cable,8.0,2006.0
2,20.0,US,7,2014,"Charlotte, North Carolina Area",Time Warner Cable,5.0,2011.0
3,20.0,US,Present,Present,"Raleigh-Durham, North Carolina Area",Cisco,8.0,2016.0
0,22.0,US,Present,Present,,Sam's Club,3.0,2016.0
1,22.0,US,11,2014,San Francisco Bay Area,"AdRise, Inc",5.0,2014.0
2,22.0,US,11,2014,San Francisco Bay Area,The Creative Group,4.0,2014.0
3,22.0,US,3,2016,San Francisco Bay Area,Sam's Club,6.0,2015.0
4,22.0,US,6,2015,"Redwood City, CA",MAVATAR TECHNOLOGIES INC,10.0,2014.0
5,22.0,US,10,2013,,ODALC - Non-profit organization,5.0,2012.0
