,cand_id,name,proficiency
0,2.0,English,NATIVE_OR_BILINGUAL
0,3.0,Chinese,PROFESSIONAL_WORKING
0,4.0,Anglais,PROFESSIONAL_WORKING
0,8.0,English,NATIVE_OR_BILINGUAL
0,11.0,Deutsch,NATIVE_OR_BILINGUAL
0,12.0,English,PROFESSIONAL_WORKING
0,13.0,English,NATIVE_OR_BILINGUAL
0,20.0,Arabic,NATIVE_OR_BILINGUAL
0,22.0,English,FULL_PROFESSIONAL
0,27.0,English,NATIVE_OR_BILINGUAL
0,28.0,Espa̱ol,NATIVE_OR_BILINGUAL
1,28.0,Espa̱ol,NATIVE_OR_BILINGUAL
0,36.0,English,NATIVE_OR_BILINGUAL
0,38.0,Basque,PROFESSIONAL_WORKING
0,39.0,Arabic,NATIVE_OR_BILINGUAL
0,51.0,English,NATIVE_OR_BILINGUAL
0,54.0,Chinese,NATIVE_OR_BILINGUAL
0,64.0,Anglais,PROFESSIONAL_WORKING
0,70.0,Croatian,ELEMENTARY
