,cand_id,name,proficiency
0,501.0,English,FULL_PROFESSIONAL
0,505.0,English,NATIVE_OR_BILINGUAL
0,511.0,English,NATIVE_OR_BILINGUAL
0,514.0,Cantonese,PROFESSIONAL_WORKING
0,517.0,English,NATIVE_OR_BILINGUAL
0,518.0,English,PROFESSIONAL_WORKING
0,533.0,English,PROFESSIONAL_WORKING
0,544.0,English,PROFESSIONAL_WORKING
0,546.0,AlemÃ¡n,ELEMENTARY
0,554.0,English,FULL_PROFESSIONAL
0,556.0,Chinese,NATIVE_OR_BILINGUAL
0,557.0,Deutsch,NATIVE_OR_BILINGUAL
0,558.0,English,NATIVE_OR_BILINGUAL
0,567.0,Chinese,NATIVE_OR_BILINGUAL
0,572.0,Chinese,LIMITED_WORKING
1,572.0,Chinese,LIMITED_WORKING
0,577.0,Cantonese,NATIVE_OR_BILINGUAL
0,578.0,English,NATIVE_OR_BILINGUAL
0,579.0,English,NATIVE_OR_BILINGUAL
0,590.0,English,PROFESSIONAL_WORKING
0,595.0,Dutch,LIMITED_WORKING
0,599.0,Armenian,NATIVE_OR_BILINGUAL
